Set No.,Tune No.,Tune Title,Learning Video,Genre,Added,Rhythm,Key,Mode,Part
87,203,The Cavan Brigade,https://youtu.be/RY_FJ3Z7jyg,Irish,17/1/2023,Double Jig,D,Mixolydian,2
87,204,When the Cock Crows It Is Day,https://youtu.be/aJ-1vbIVERc,Irish,18/1/2023,Double Jig,G,Major,2
87,205,Sixpenny Money,https://youtu.be/RD5SzH7VLaw,Irish,20/1/2023,Double Jig,D,Major,2
88,206,The Galway Hornpipe,https://youtu.be/-mp1bkZo0KU,Irish,24/1/2023,Hornpipe,D,Major,2
88,207,The Golden Eagle,https://youtu.be/5N_aUiBAiJ8,Irish,25/1/2023,Hornpipe,G,Major,2
89,208,Morning Star,https://youtu.be/VZ-pFGjRboU,Irish,27/1/2023,Single Reel,G,Major,2
89,209,Abbey Reel,https://youtu.be/s5s8y-367y8,Irish,27/1/2023,Single Reel,A,Dorian,2
89,210,Mountain Road,https://youtu.be/n8IhKC_gG80,Irish,28/1/2023,Single Reel,D,Major,2
90,211,Tommy Mulhaire's,https://youtu.be/zrYp3-vi7Eo,Irish,30/1/2023,Double Jig,G,Major,2
90,212,Winnie Haye's,https://youtu.be/nJEx3qS_fVk,Irish,31/1/2023,Double Jig,A,Dorian,2
90,213,Tell Her I am,https://youtu.be/VUkGaHM_rpA,Irish,1/2/2023,Double Jig,G,Dorian,3
91,214,Up and Away,https://youtu.be/2OijbTms7Kg,Irish,2/2/2023,Polka,G,Major,2
91,215,The Merry Girl,https://youtu.be/a9piSmyogC8,Irish,3/2/2023,Polka,G,Major,2
92,216,The Lark on the Strand,https://youtu.be/08i5nI9JnQI,Irish,8/2/2023,Double Jig,G,Major,2
92,217,Hag with the Money,https://youtu.be/UHieWllvUbE,Irish,9/2/2023,Double Jig,D,Major,2
92,218,The Hag at the Churn,https://youtu.be/EAsjYueOKlA,Irish,10/2/2023,Double Jig,D,Mixolydian,2
